IC50 (nM),class,Ligand SMILES
500000.0,0,C=CCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1
33285.0,0,CC(=O)Nc1cc(-c2ccccc2)nn1-c1nc(C(=O)O)cs1
9570.0,0,CC(=O)Nc1cc(nn1-c1nc(cs1)C(O)=O)-c1ccccc1
100000.0,0,CC(=O)Nc1ncc(-c2cccc(C(=O)O)c2)nc1N[C@H](C)c1ccccc1
500000.0,0,C=CCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1
100000.0,0,CC(=O)Nc1ncc(-c2cccc(C(=O)O)c2)nc1N[C@H](C)c1ccccc1
100000.0,0,CC(=O)Nc1ncc(-c2cccc(C(=O)O)c2)nc1N[C@H](C)c1ccccc1
100000.0,0,CC(=O)Nc1ncc(-c2cccc(C(=O)O)c2)nc1N[C@H](C)c1ccccc1
100000.0,0,CC(=O)Nc1ncc(-c2cccc(C(=O)O)c2)nc1N[C@H](C)c1ccccc1
57000.0,0,CC(C)c1cc(-c2ccccc2)nn1-c1nc(C(=O)O)cs1
2000.0,0,CC(C)c1ccc(cc1-c1cnc(N)c(N[C@H](C)c2ccccc2)n1)C(O)=O
2000.0,0,CC(C)c1ccc(cc1-c1cnc(N)c(N[C@H](C)c2ccccc2)n1)C(O)=O
12500.0,0,CC(Sc1ncc(C#N)c(=O)[nH]1)C(=O)Nc1ccc(S(N)(=O)=O)cc1
12500.0,0,CC(Sc1ncc(C#N)c(=O)[nH]1)C(=O)Nc1ccc(S(N)(=O)=O)cc1
100000.0,0,CC(=O)Nc1ncc(-c2cccc(C(=O)O)c2)nc1N[C@H](C)c1ccccc1
500000.0,0,C=CCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1
500000.0,0,C=CCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1
270000.0,0,CCCc1c(O)c(O)c(C(=O)O)c2cc(Cc3ccccc3)c(C)cc12
500000.0,0,C=CCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1
100000.0,0,CC(=O)Nc1ncc(-c2cccc(C(=O)O)c2)nc1N[C@H](C)c1ccccc1
3100.0,0,CCOC(=O)c1cnc(SC2=C(O)CC(CC2=O)c2ccccc2)nc1N
100000.0,0,CC(=O)Nc1ncc(-c2cccc(C(=O)O)c2)nc1N[C@H](C)c1ccccc1
30000.0,0,CCOc1cccc(n1)C1(CC(=O)C(Sc2ccc(F)cc2Cl)C(=O)N1)c1ccsc1
