Ligand SMILES,IC50 (nM),class
C#CCCCC(=O)Nc1ccc(C(=O)c2ccc(NCc3ccc(-c4ccc(O)c(C(=O)O)c4)o3)cc2)cc1.N,500.0,1
C#CCN(Cc1ccc(-c2ccc(O)c(C(=O)O)c2)o1)Cc1ccc(-c2ccc(O)c(C(=O)O)c2)o1.N.N,1600.0,0
C#CCNCc1ccc(-c2ccc(O)c(C(=O)O)c2)o1.N,2000.0,0
C#Cc1cc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)ccc1F,456.0,1
C/C=C/c1cc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)ccc1F,215.8,1
C=C(c1cccc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)c1)C(F)(F)F,530.5,1
C=CCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1,500000.0,0
CC#Cc1cc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)ccc1F,271.2,1
CC#Cc1cc(ccc1F)-c1nn(c(CC2CC2)c1Cc1ccc(c(F)c1)S(N)(=O)=O)-c1nc(cs1)C(O)=O,271.2,1
CC#Cc1cccc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)c1,349.2,1
CC#Cc1cccc(c1)-c1nn(c(CC2CC2)c1Cc1ccc(c(F)c1)S(N)(=O)=O)-c1nc(cs1)C(O)=O,349.2,1
CC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)NCC(N)=O)[C@@H](C)O)C(C)C,40000.0,0
CC(=O)N1CCN(CC1)c1ccc(Cl)c(C2CC(O)=C(Sc3ccccc3Cl)C(=O)C2)c1Cl,100.0,1
CC(=O)N1CCN(CC1)c1ccc(cc1)C1(CC(O)=C(Sc2ccccc2Cl)C(=O)N1)c1ccsc1,5.0,1
CC(=O)N1CCN(c2ccc(C3(c4ccsc4)CC(O)=C(Sc4ccccc4Cl)C(=O)N3)cc2)CC1,5.0,1
CC(=O)N1CCN(c2ccc(Cl)c(C3CC(=O)C(Sc4ccccc4Cl)=C(O)C3)c2Cl)CC1,100.0,1
CC(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O,40000.0,0
CC(=O)Nc1cc(-c2ccccc2)nn1-c1nc(C(=O)O)cs1,33285.0,0
CC(=O)Nc1cc(nn1-c1nc(cs1)C(O)=O)-c1ccccc1,9570.0,0
CC(=O)Nc1ccc(SC2=C(O)CC(c3ccccc3)CC2=O)cc1,100000.0,0
CC(=O)Nc1ccc2nc(C)sc2c1,500000.0,0
